materia,grupo,hora,dia,aula,profesor
754U,A|4|54|||20251~S2,12,X,F20,P000078
754U,A|4|54|||20251~S2,10,V,F20,P000078
754V,A|4|54|||20251~S3,14,L,LM1,P000034
754V,A|4|54|||20251~S3,10,M,LM1,P000034
754V,A|4|54|||20251~S3,15,X,LM1,P000034
754V,A|4|54|||20251~S3,17,X,LM1,P000034
754W,A|4|54|||20251~S3,12,L,LM1,P000034
754W,A|4|54|||20251~S3,19,L,LM1,P000034
754W,A|4|54|||20251~S3,13,M,LM1,P000034
754W,A|4|54|||20251~S3,13,J,LM1,P000034
5546,A|4|54|||20251~S3,09,L,E34,P000120
5546,A|4|54|||20251~S3,15,M,E34,P000120
5546,A|4|54|||20251~S3,09,X,E34,P000120
8543,A|4|54|||20251~S3,17,L,CIM,P000003
8543,A|4|54|||20251~S3,14,M,CIM,P000003
8543,A|4|54|||20251~S3,13,X,CIM,P000003
8543,A|4|54|||20251~S3,10,J,CIM,P000003
854S,A|4|54|||20251~S3,07,X,F28,P000009
854S,A|4|54|||20251~S3,21,J,F28,P000009
854S,A|4|54|||20251~S3,21,V,F28,P000009
854T,A|4|54|||20251~S3,18,L,LM1,P000013
854T,A|4|54|||20251~S3,16,M,LM1,P000013
854T,A|4|54|||20251~S3,07,J,LM1,P000013
854T,A|4|54|||20251~S3,09,V,LM1,P000013
6545,A|4|54|||20251~S3,14,J,F20,P000112
6545,A|4|54|||20251~S3,18,J,F20,P000112
6545,A|4|54|||20251~S3,13,V,F20,P000112
854R,A|4|54|||20251~S3,10,L,F33,P000009
854R,A|4|54|||20251~S3,09,M,F33,P000009
854R,A|4|54|||20251~S3,19,J,F33,P000009
1541,A|4|54|||20251~S3,07,L,F14,P000115
1541,A|4|54|||20251~S3,20,J,F14,P000115
1541,A|4|54|||20251~S3,10,V,F14,P000115
1542,A|4|54|||20251~S3,12,M,E24,P000055
1542,A|4|54|||20251~S3,08,X,E24,P000055
1542,A|4|54|||20251~S3,07,V,E24,P000055
2543,A|4|54|||20251~S3,14,X,E13,P000110
2543,A|4|54|||20251~S3,18,X,E13,P000110
2543,A|4|54|||20251~S3,20,V,E13,P000110
2546,A|4|54|||20251~S3,18,M,Y12,P000079
2546,A|4|54|||20251~S3,12,X,Y12,P000079
2546,A|4|54|||20251~S3,09,J,Y12,P000079
4541,A|4|54|||20251~S3,08,M,C12,P000083
4541,A|4|54|||20251~S3,20,M,C12,P000083
4541,A|4|54|||20251~S3,15,J,C12,P000083
4544,A|4|54|||20251~S3,11,L,E25,P000051
4544,A|4|54|||20251~S3,21,X,E25,P000051
4544,A|4|54|||20251~S3,17,J,E25,P000051
4547,A|4|54|||20251~S3,13,L,E34,P000008
4547,A|4|54|||20251~S3,11,X,E34,P000008
4547,A|4|54|||20251~S3,08,J,E34,P000008
5547,A|4|54|||20251~S3,16,L,U23,P000072
5547,A|4|54|||20251~S3,11,V,U23,P000072
5547,A|4|54|||20251~S3,14,V,U23,P000072
6546,A|4|54|||20251~S3,11,M,G26,P000064
6546,A|4|54|||20251~S3,19,M,G26,P000064
6546,A|4|54|||20251~S3,19,V,G26,P000064
7546,A|4|54|||20251~S3,20,X,E19,P000048
7546,A|4|54|||20251~S3,12,J,E19,P000048
7546,A|4|54|||20251~S3,12,V,E19,P000048
8542,A|4|54|||20251~S3,21,L,X22,P000002
8542,A|4|54|||20251~S3,10,X,X22,P000002
8542,A|4|54|||20251~S3,15,V,X22,P000002
3547,C|4|54|||20251~S1,07,M,E32,P000009
3547,C|4|54|||20251~S1,11,X,E32,P000009
3547,C|4|54|||20251~S1,20,V,E32,P000009
6543,C|4|54|||20251~S1,20,X,Z21,P000045
6543,C|4|54|||20251~S1,07,J,Z21,P000045
6543,C|4|54|||20251~S1,12,J,Z21,P000045
6544,C|4|54|||20251~S1,08,L,X13,P000037
6544,C|4|54|||20251~S1,14,L,X13,P000037
6544,C|4|54|||20251~S1,13,X,X13,P000037
9541,C|4|54|||20251~S1,15,M,E26,P000005
3541,C|4|54|||20251~S1,18,J,E28,P000001
