materia,grupo,hora,dia,aula,profesor
5504,A|8|50|||20251~S2,21,V,L14,P000138
6502,A|8|50|||20251~S2,15,X,LCC,P000135
6502,A|8|50|||20251~S2,17,J,LCC,P000135
6502,A|8|50|||20251~S2,18,J,LCC,P000135
6502,A|8|50|||20251~S2,13,V,LCC,P000135
6504,A|8|50|||20251~S2,08,L,LCC,P000156
6504,A|8|50|||20251~S2,21,L,LCC,P000156
6504,A|8|50|||20251~S2,15,M,LCC,P000156
6504,A|8|50|||20251~S2,17,V,LCC,P000156
7503,A|8|50|||20251~S2,12,L,LAM,P000167
7503,A|8|50|||20251~S2,19,M,LAM,P000167
7503,A|8|50|||20251~S2,21,X,LAM,P000167
7503,A|8|50|||20251~S2,08,J,LAM,P000167
1503,A|8|50|||20251~S2,20,M,EE4,P000071
1503,A|8|50|||20251~S2,10,X,EE4,P000071
1503,A|8|50|||20251~S2,14,J,EE4,P000071
1505,A|8|50|||20251~S2,09,M,F13,P000133
1505,A|8|50|||20251~S2,07,V,F13,P000133
1505,A|8|50|||20251~S2,10,V,F13,P000133
2503,A|8|50|||20251~S2,11,M,E22,P000012
2503,A|8|50|||20251~S2,17,X,E22,P000012
2503,A|8|50|||20251~S2,10,J,E22,P000012
3501,A|8|50|||20251~S2,13,L,FFC,P000041
3501,A|8|50|||20251~S2,20,L,FFC,P000041
3501,A|8|50|||20251~S2,20,J,FFC,P000041
3504,A|8|50|||20251~S2,13,X,E18,P000019
3504,A|8|50|||20251~S2,16,J,E18,P000019
3504,A|8|50|||20251~S2,19,V,E18,P000019
4502,A|8|50|||20251~S2,15,L,FFB,P000001
4502,A|8|50|||20251~S2,17,L,FFB,P000001
4502,A|8|50|||20251~S2,19,J,FFB,P000001
5506,A|8|50|||20251~S2,09,X,EE2,P000137
5506,A|8|50|||20251~S2,14,X,EE2,P000137
5506,A|8|50|||20251~S2,20,V,EE2,P000137
7504,A|8|50|||20251~S2,12,M,FFA,P000169
7504,A|8|50|||20251~S2,21,M,FFA,P000169
7504,A|8|50|||20251~S2,12,X,FFA,P000169
750G,A|8|50|||20251~S2,07,L,FF5,P000146
750G,A|8|50|||20251~S2,08,M,FF5,P000146
750G,A|8|50|||20251~S2,10,M,FF5,P000146
8501,A|8|50|||20251~S2,14,M,E11,P000162
8501,A|8|50|||20251~S2,11,J,E11,P000162
8501,A|8|50|||20251~S2,08,V,E11,P000162
850J,A|8|50|||20251~S2,18,L,F26,P000136
850J,A|8|50|||20251~S2,16,M,F26,P000136
850J,A|8|50|||20251~S2,20,X,F26,P000136
850L,A|8|50|||20251~S2,13,M,FFB,P000168
850L,A|8|50|||20251~S2,16,X,FFB,P000168
850L,A|8|50|||20251~S2,09,V,FFB,P000168
850N,A|8|50|||20251~S2,11,X,EE5,P000127
850N,A|8|50|||20251~S2,15,V,EE5,P000127
850N,A|8|50|||20251~S2,18,V,EE5,P000127
0500,A|8|50|||20251~S2,11,L,FF4,P000123
1502,C|8|50|||20251~S1,18,L,LCC,P000122
1502,C|8|50|||20251~S1,07,X,LCC,P000122
1502,C|8|50|||20251~S1,14,X,LCC,P000122
1502,C|8|50|||20251~S1,14,V,LCC,P000122
3503,C|8|50|||20251~S1,11,M,LAM,P000132
3503,C|8|50|||20251~S1,17,J,LAM,P000132
3503,C|8|50|||20251~S1,07,V,LAM,P000132
3503,C|8|50|||20251~S1,11,V,LAM,P000132
3506,C|8|50|||20251~S1,19,L,LCC,P000177
3506,C|8|50|||20251~S1,09,J,LCC,P000177
3506,C|8|50|||20251~S1,16,J,LCC,P000177
3506,C|8|50|||20251~S1,18,V,LCC,P000177
4505,C|8|50|||20251~S1,10,M,LAM,P000155
4505,C|8|50|||20251~S1,09,X,LAM,P000155
4505,C|8|50|||20251~S1,12,X,LAM,P000155
4505,C|8|50|||20251~S1,18,J,LAM,P000155
5504,C|8|50|||20251~S1,10,X,L14,P000141
5504,C|8|50|||20251~S1,11,J,L14,P000141
5504,C|8|50|||20251~S1,13,J,L14,P000141
5504,C|8|50|||20251~S1,17,V,L14,P000141
6502,C|8|50|||20251~S1,07,M,LCC,P000135
6502,C|8|50|||20251~S1,18,M,LCC,P000135
6502,C|8|50|||20251~S1,20,J,LCC,P000135
6502,C|8|50|||20251~S1,19,V,LCC,P000135
6504,C|8|50|||20251~S1,17,L,L14,P000156
6504,C|8|50|||20251~S1,12,M,L14,P000156
6504,C|8|50|||20251~S1,21,X,L14,P000156
6504,C|8|50|||20251~S1,10,V,L14,P000156
7503,C|8|50|||20251~S1,21,L,LAM,P000167
7503,C|8|50|||20251~S1,17,X,LAM,P000167
7503,C|8|50|||20251~S1,15,J,LAM,P000167
7503,C|8|50|||20251~S1,12,V,LAM,P000167
1501,C|8|50|||20251~S1,16,L,FF7,P000054
1501,C|8|50|||20251~S1,09,M,FF7,P000054
1501,C|8|50|||20251~S1,19,X,FF7,P000054
2503,C|8|50|||20251~S1,07,L,FF4,P000144
2503,C|8|50|||20251~S1,14,M,FF4,P000144
2503,C|8|50|||20251~S1,20,M,FF4,P000144
3501,C|8|50|||20251~S1,09,L,FF3,P000041
3501,C|8|50|||20251~S1,15,X,FF3,P000041
3501,C|8|50|||20251~S1,08,J,FF3,P000041
4501,C|8|50|||20251~S1,16,X,FF3,P000094
4501,C|8|50|||20251~S1,10,J,FF3,P000094
